Network address,Subnet mask,Gateway,Interface,Metric
0.0.0.0,0.0.0.0,199.175.32.1,199.175.32.38,1
127.0.0.0,255.0.0.0,127.0.0.1,127.0.0.1,1
192.168.71.96,255.255.255.224,192.168.71.99,192.168.71.99,1
192.168.71.99,255.255.255.255,127.0.0.1,127.0.0.1,1
192.168.71.255,255.255.255.255,192.168.71.99,192.168.71.99,1
199.175.32.1,255.255.255.128,199.175.32.38,199.175.32.38,1
199.175.32.38,255.255.255.255,127.0.0.1,127.0.0.1,1
199.175.32.127,255.255.255.255,199.175.32.38,199.175.32.38,1
199.175.32.128,255.255.255.128,199.175.32.1,199.175.32.38,1
199.175.32.255,255.255.255.255,199.175.32.38,199.175.32.38,1
224.0.0.0,224.0.0.0,192.168.71.99,192.168.71.99,1
255.255.255.255,255.255.255.255,192.168.71.99,192.168.71.99,1
